id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
31458973,Studio in Munich,97932492,Park Hotel,,Laim,48.1346,11.51167,Private room,,1,3,2022-08-21,0.04,4,299,0,
31461983,Cozy Room for 2 in Central Munich,235687902,Johannes,,Schwabing-West,48.16668,11.56451,Private room,,1,115,2022-05-15,1.59,1,0,0,
31480352,tiny house - Gartenhaus,39126082,Dagmar,,Pasing-Obermenzing,48.13664,11.46125,Entire home/apt,90,1,51,2024-12-07,1.25,1,269,14,
31486811,SMARTments home away from home - Studio in Munich,113216159,SMARTments,,Schwabing-Freimann,48.17755,11.5952,Entire home/apt,126,1,541,2024-12-08,7.88,10,362,26,
31492162,"Große, gemütliche Wohnung im Osten von München.",106940799,Nicky,,Berg am Laim,48.12916,11.64434,Entire home/apt,,2,4,2022-08-21,0.06,1,0,0,
31512764,Stylish Flat with Balcony surrounded by Parks,23344628,Maximilian,,Schwabing-West,48.17103,11.5651,Entire home/apt,142,5,24,2024-11-03,0.35,1,13,4,
31548775,SMARTments home away from home - Studio in Munich,113216159,SMARTments,,Schwabing-Freimann,48.17828,11.596,Entire home/apt,112,7,69,2024-12-11,1.02,10,357,3,
31550918,SMARTments home away from home - Studio XL Munich,113216159,SMARTments,,Schwabing-Freimann,48.17785,11.5944,Entire home/apt,132,7,22,2024-10-18,0.32,10,357,3,
31552072,SMARTments Serviced Apartment in Munich,113216159,SMARTments,,Schwabing-Freimann,48.17766,11.59549,Entire home/apt,176,1,2,2024-11-23,0.40,10,362,2,
31552494,SMARTments Serviced Apartment in Munich,113216159,SMARTments,,Schwabing-Freimann,48.17891,11.59396,Entire home/apt,167,7,0,,,10,357,0,
31590112,"Cosy room nearby fair ground, 1 person, bunk bed",211958889,Annegret,,Berg am Laim,48.1199,11.64544,Private room,77,2,29,2024-10-09,0.40,2,33,9,
31615358,"Wunderschönes Zimmer in Altbau, Haidhausen",50188111,Hannes,,Au-Haidhausen,48.13108,11.59169,Private room,,2,9,2024-09-29,0.13,1,0,3,
31658503,Central Room near Oktoberfest | no kitchen-use,237365565,Bayram,,Schwanthalerhöhe,48.13666,11.53442,Private room,,2,29,2020-08-16,0.41,1,0,0,
31705064,2 Bedrooms Modern Apartment in Munich Center,237652502,Royal Boardinghouse GmbH,,Ludwigsvorstadt-Isarvorstadt,48.13624,11.5577,Entire home/apt,278,1,81,2024-12-23,1.39,8,23,51,
31705373,3 Bedrooms Modern Apartment in Munich Center,237652502,Royal Boardinghouse GmbH,,Ludwigsvorstadt-Isarvorstadt,48.13673,11.55687,Entire home/apt,,3,38,2024-12-08,0.69,8,0,31,
31715830,Gemütliches 1-Zimmer Apartment im Münchner Süden,135490636,Arzu,,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.08078,11.50166,Entire home/apt,,2,17,2022-09-19,0.24,1,0,0,
31727466,Private Room/Direct in U2 in 7 min in the Messe,25320203,Hans,,Berg am Laim,48.12626,11.64835,Private room,80,2,56,2024-10-09,0.79,1,260,10,
31801484,Central apartment in Munich,130326466,Rafael,,Schwanthalerhöhe,48.14105,11.5353,Entire home/apt,,3,1,2019-02-17,0.01,1,0,0,
31830585,Zimmer am Moosfeld,63754345,Stefan,,Tudering-Riem,48.12881,11.6692,Private room,,1,4,2024-08-25,0.86,1,0,4,
