id,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,availability_365,number_of_reviews,last_review
2148966,Modern family apartment in the heart of Munich,Ludwigsvorstadt-Isarvorstadt,48.13053,11.57414,Entire home/apt,220.0,5,13,84,2024-08-31
2251998,Chic&cozy room w/your own bathroom,Ramersdorf-Perlach,48.12072,11.60151,Private room,64.0,3,68,153,2024-12-05
2257931,Gemütliches privat Appartement mitten in der Stadt,Ludwigsvorstadt-Isarvorstadt,48.13021,11.56335,Entire home/apt,149.0,2,358,0,
2286506,Sunny Penthouse Apartement / 20 min to Center,Bogenhausen,48.16386,11.6488,Entire home/apt,210.0,2,133,323,2024-12-23
2331422,Apartment in München Grosshadern,Hadern,48.11823,11.47098,Private room,39.0,4,190,193,2024-11-15
2335855,SCHWABING COSY APP-WITH INTERNET,Maxvorstadt,48.15509,11.56379,Entire home/apt,99.0,300,365,26,2022-12-24
2377342,Gemütliches Zimmer München Ost,Tudering-Riem,48.11313,11.65931,Private room,38.0,3,63,35,2024-12-14
2398709,Top Floor stunning view over Munich,Milbertshofen-Am Hart,48.17809,11.58018,Entire home/apt,60.0,60,213,10,2021-09-23
2416149,Zentrum nahe Wohnung im Grünen,Moosach,48.17211,11.49405,Entire home/apt,79.0,5,360,9,2016-09-27
2423396,Studio Apartment - central & quiet + balcony,Ludwigsvorstadt-Isarvorstadt,48.13287,11.58074,Entire home/apt,106.0,5,98,144,2024-10-05
2445882,Artist Apartment for Individualists,Schwabing-West,48.16191,11.5743,Entire home/apt,116.0,3,86,98,2024-11-02
2448649,Tastefully furnished 19sqm room,Schwabing-Freimann,48.16464,11.58616,Private room,78.0,4,89,15,2019-01-26
2452832,*Hotel-Room at Munich City Central Station,Maxvorstadt,48.14416,11.55974,Entire home/apt,105.0,2,70,615,2024-12-09
2490419,Gästezimmer in Traumwohnung am Englischen Garten,Schwabing-Freimann,48.16346,11.59341,Private room,79.0,1,3,0,
2512391,Quiet room to the courtyard,Maxvorstadt,48.15183,11.57603,Private room,58.0,4,83,178,2024-12-04
2530463,Next to the Isar River and old bridge,Ludwigsvorstadt-Isarvorstadt,48.12203,11.56356,Private room,60.0,7,130,12,2020-04-01
2540597,1 Ferienzimmer im Einfamilienhaus,Feldmoching-Hasenbergl,48.20053,11.55125,Private room,95.0,1,269,22,2024-10-06
2544224,"Cosy in French Quarter, central",Au-Haidhausen,48.13013,11.59917,Entire home/apt,125.0,1,203,506,2024-12-11
2544799,Traumzimmer in Wohngemeinschaft,Ludwigsvorstadt-Isarvorstadt,48.13135,11.57576,Private room,92.0,2,89,6,2024-11-29
2575669,Zimmer&Balkon/1-2 Personen/ruhig&zentral! Nur wbl.,Sendling-Westpark,48.11188,11.5078,Private room,47.0,2,89,9,2024-12-07
2602887,Great apartment in Bogenhausen,Bogenhausen,48.15227,11.62811,Entire home/apt,85.0,99,173,21,2018-05-29
2606617,"Loft DT-Wohnung ""Industrial Style""",Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.09794,11.53945,Entire home/apt,140.0,3,158,35,2024-10-19
2662348,München Schwabing Bestlage,Schwabing-Freimann,48.17276,11.59031,Private room,44.0,2,120,371,2024-11-27
2683845,Your Business Appartment in the City-Center,Maxvorstadt,48.15331,11.56629,Entire home/apt,383.0,7,5,50,2024-09-24
2699009,Room+ bathroom next to Oktoberfest,Maxvorstadt,48.14783,11.56503,Private room,85.0,2,321,95,2024-12-06
2837145,Lovely room - close to the city center,Neuhausen-Nymphenburg,48.16322,11.54363,Private room,75.0,1,339,38,2024-09-09
2861806,Zimmer mit Gartenblick,Bogenhausen,48.15841,11.65024,Private room,40.0,1,0,0,
2929924,Bleibe bei einem netten Einheimischen,Moosach,48.17559,11.50596,Private room,37.0,3,50,251,2024-11-30
